entry_date,entry_price,exit_date,exit_price,reason,code,name
2026-05-25,666000.0,2026-05-27,679000.0,holding_limit,005380,현대차
2026-05-14,723000.0,2026-05-15,650000.0,stop_loss,329180,HD현대중공업
2026-05-25,685000.0,2026-05-27,741000.0,holding_limit,329180,HD현대중공업
2026-05-06,348000.0,2026-05-07,397000.0,take_profit,028260,삼성물산
2026-05-25,425000.0,2026-05-27,407000.0,holding_limit,028260,삼성물산
2026-05-08,458500.0,2026-05-08,531785.7142857143,take_profit,012330,현대모비스
2026-05-27,134000.0,2026-05-27,134300.0,holding_limit,042660,한화오션
2026-05-07,82800.0,2026-05-12,73642.85714285714,stop_loss,006800,미래에셋증권
2026-04-12,290000.0,2026-04-22,293500.0,holding_limit,042700,한미반도체
2026-05-27,116300.0,2026-05-27,109500.0,holding_limit,272210,한화시스템
2026-05-26,151300.0,2026-05-27,144400.0,holding_limit,086520,에코프로
2026-05-03,278000.0,2026-05-13,285000.0,holding_limit,010120,LS ELECTRIC
2026-05-27,282500.0,2026-05-27,261000.0,holding_limit,010120,LS ELECTRIC
2026-05-17,396500.0,2026-05-27,379000.0,holding_limit,196170,알테오젠
2026-05-06,218000.0,2026-05-13,200857.14285714287,stop_loss,247540,에코프로비엠
2026-05-26,225000.0,2026-05-27,214500.0,holding_limit,247540,에코프로비엠
2026-05-24,872000.0,2026-05-27,886000.0,holding_limit,079550,LIG디펜스앤에어로스페이스
2026-05-09,234500.0,2026-05-19,214000.0,holding_limit,086280,현대글로비스
2026-05-07,284000.0,2026-05-12,252785.7142857143,stop_loss,071050,한국금융지주
2026-04-16,194000.0,2026-04-17,181821.42857142858,stop_loss,018260,삼성에스디에스
2026-05-08,453000.0,2026-05-15,392785.71428571426,stop_loss,039490,키움증권
2026-04-12,406500.0,2026-04-22,444500.0,holding_limit,307950,현대오토에버
2026-04-19,164100.0,2026-04-22,149542.85714285713,stop_loss,298380,에이비엘바이오
2026-04-28,144900.0,2026-05-06,129257.14285714286,stop_loss,298380,에이비엘바이오
2026-05-26,141900.0,2026-05-27,149800.0,holding_limit,000880,한화
2026-05-04,122500.0,2026-05-12,106992.85714285714,stop_loss,058470,리노공업
2026-05-27,110800.0,2026-05-27,101100.0,holding_limit,058470,리노공업
2026-04-19,108800.0,2026-04-29,107400.0,holding_limit,950160,코오롱티슈진
2026-05-08,114900.0,2026-05-12,143842.85714285713,take_profit,950160,코오롱티슈진
2026-04-12,41850.0,2026-04-22,47550.0,holding_limit,009830,한화솔루션
2026-05-05,110400.0,2026-05-05,130914.28571428571,take_profit,016360,삼성증권
2026-04-12,52600.0,2026-04-22,56800.0,holding_limit,377300,카카오페이
2026-05-07,61800.0,2026-05-07,57700.0,stop_loss,377300,카카오페이
2026-04-13,113700.0,2026-04-23,115400.0,holding_limit,180640,한진칼
2026-05-22,549000.0,2026-05-27,513000.0,holding_limit,006260,LS
2026-05-26,243000.0,2026-05-27,238500.0,holding_limit,443060,HD현대마린솔루션
2026-05-09,64800.0,2026-05-12,58814.28571428572,stop_loss,161390,한국타이어앤테크놀로지
2026-04-17,195100.0,2026-04-27,206000.0,holding_limit,141080,리가켐바이오
2026-05-14,199500.0,2026-05-18,174842.85714285713,stop_loss,141080,리가켐바이오
2026-04-17,98100.0,2026-04-27,109500.0,holding_limit,214370,케어젠
2026-04-12,122100.0,2026-04-22,119100.0,holding_limit,240810,원익IPS
2026-04-29,62600.0,2026-05-09,58200.0,holding_limit,028300,HLB
2026-05-27,267500.0,2026-05-27,286000.0,holding_limit,087010,펩트론
2026-04-17,301500.0,2026-04-27,306000.0,holding_limit,310210,보로노이
2026-05-26,291000.0,2026-05-27,282000.0,holding_limit,310210,보로노이
2026-05-14,14370.0,2026-05-18,13111.42857142857,stop_loss,034220,LG디스플레이
2026-05-16,110600.0,2026-05-26,106900.0,holding_limit,454910,두산로보틱스
2026-05-22,548000.0,2026-05-27,513000.0,holding_limit,039030,이오테크닉스
2026-04-12,531000.0,2026-04-22,551000.0,holding_limit,002380,KCC
2026-04-12,146800.0,2026-04-14,186514.2857142857,take_profit,062040,산일전기
2026-04-30,243000.0,2026-05-10,253500.0,holding_limit,095340,ISC
2026-04-12,4820.0,2026-04-22,4840.0,holding_limit,088350,한화생명
2026-05-15,5500.0,2026-05-25,5600.0,holding_limit,088350,한화생명
2026-05-26,5150.0,2026-05-27,5250.0,holding_limit,018880,한온시스템
2026-04-19,179600.0,2026-04-29,184600.0,holding_limit,226950,올릭스
2026-05-27,161100.0,2026-05-27,178400.0,holding_limit,226950,올릭스
2026-05-27,76100.0,2026-05-27,71300.0,holding_limit,082740,한화엔진
2026-04-12,45500.0,2026-04-22,48000.0,holding_limit,403870,HPSP
2026-05-25,53500.0,2026-05-27,55400.0,holding_limit,403870,HPSP
2026-05-23,178800.0,2026-05-27,201500.0,holding_limit,000990,DB하이텍
2026-04-17,91700.0,2026-04-27,91900.0,holding_limit,140410,메지온
2026-04-17,276000.0,2026-04-27,348000.0,holding_limit,108490,로보티즈
2026-04-14,77700.0,2026-04-24,81800.0,holding_limit,347850,디앤디파마텍
2026-05-27,72200.0,2026-05-27,97857.14285714286,take_profit,347850,디앤디파마텍
2026-04-12,270500.0,2026-04-22,288000.0,holding_limit,014680,한솔케미칼
2026-05-14,330000.0,2026-05-18,296714.28571428574,stop_loss,014680,한솔케미칼
2026-05-18,323000.0,2026-05-27,300000.0,holding_limit,214450,파마리서치
2026-05-08,142700.0,2026-05-13,122971.42857142858,stop_loss,084370,유진테크
2026-05-26,146500.0,2026-05-27,130600.0,holding_limit,084370,유진테크
2026-05-09,268500.0,2026-05-19,265500.0,holding_limit,145020,휴젤
2026-04-12,209000.0,2026-04-22,205000.0,holding_limit,001720,신영증권
2026-04-16,71300.0,2026-04-20,90685.71428571429,take_profit,036930,주성엔지니어링
2026-04-16,60900.0,2026-04-26,60800.0,holding_limit,005850,에스엘
2026-05-24,68600.0,2026-05-27,72000.0,holding_limit,005850,에스엘
2026-05-26,131000.0,2026-05-27,121500.0,holding_limit,058610,에스피지
2026-05-23,53800.0,2026-05-27,71514.28571428571,take_profit,009420,한올바이오파마
2026-04-13,19570.0,2026-04-23,20500.0,holding_limit,00680K,미래에셋증권2우B
2026-05-07,23800.0,2026-05-12,21428.571428571428,stop_loss,00680K,미래에셋증권2우B
2026-04-18,23300.0,2026-04-28,22250.0,holding_limit,032820,우리기술
2026-04-16,262500.0,2026-04-24,343757.14285714284,take_profit,010060,OCI홀딩스
2026-05-27,351000.0,2026-05-27,390500.0,holding_limit,010060,OCI홀딩스
2026-04-12,46450.0,2026-04-22,60400.0,holding_limit,005290,동진쎄미켐
2026-05-08,59300.0,2026-05-15,52392.857142857145,stop_loss,005290,동진쎄미켐
2026-05-23,61200.0,2026-05-27,60500.0,holding_limit,005290,동진쎄미켐
2026-04-17,120200.0,2026-04-27,133300.0,holding_limit,023530,롯데쇼핑
2026-04-14,48100.0,2026-04-24,53800.0,holding_limit,178320,서진시스템
2026-04-15,56100.0,2026-04-23,43985.71428571429,stop_loss,043260,성호전자
2026-05-12,50200.0,2026-05-14,41500.0,stop_loss,043260,성호전자
2026-04-15,44350.0,2026-04-25,50500.0,holding_limit,336260,두산퓨얼셀
2026-05-24,129300.0,2026-05-27,120600.0,holding_limit,031980,피에스케이홀딩스
2026-05-25,61000.0,2026-05-27,61700.0,holding_limit,204320,HL만도
2026-04-17,201000.0,2026-04-27,196800.0,holding_limit,476830,알지노믹스
2026-05-26,40200.0,2026-05-27,37100.0,holding_limit,098460,고영
2026-04-18,72500.0,2026-04-28,73100.0,holding_limit,001430,세아베스틸지주
2026-04-25,70000.0,2026-05-05,69700.0,holding_limit,112610,씨에스윈드
2026-05-22,122700.0,2026-05-27,124500.0,holding_limit,222800,심텍
2026-05-25,101400.0,2026-05-27,97200.0,holding_limit,218410,RFHIC
2026-05-15,257000.0,2026-05-18,223000.0,stop_loss,483650,달바글로벌
2026-05-12,62300.0,2026-05-22,56000.0,holding_limit,100790,미래에셋벤처투자
